attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
0,55554,0,-145,41302,1954,32345,747,18660,389,93203,200,0,2
0,55554,0,-518,41302,1954,32345,747,18660,389,93203,200,0,2
0,55554,0,-579,41302,1954,32345,747,18660,389,93203,200,0,2
0,55554,0,455,41302,1954,32345,747,18660,389,93203,200,0,2
0,55554,0,333,41302,1954,32345,747,18660,389,93203,200,0,2
0,55554,0,614,41302,1954,32345,747,18660,389,93203,200,0,2
0,55554,0,298,41302,1954,32345,747,18660,389,93203,200,0,2
0,55554,0,-98,41302,1954,32345,747,18660,389,93203,200,0,2
0,55554,0,42,41302,1954,32345,747,18660,389,93203,200,0,2
0,55554,0,-252,41302,1954,32345,747,18660,389,93203,200,0,2
0,920008,0,-53,139358,28621,54093,153,76207,1121,327746,200,0,2
0,920008,0,-405,139358,28621,54093,153,76207,1121,327746,200,0,2
0,920008,0,-391,139358,28621,54093,153,76207,1121,327746,200,0,2
0,920008,0,-188,139358,28621,54093,153,76207,1121,327746,200,0,2
0,920008,0,595,139358,28621,54093,153,76207,1121,327746,200,0,2
0,920008,0,325,139358,28621,54093,153,76207,1121,327746,200,0,2
0,920008,0,216,139358,28621,54093,153,76207,1121,327746,200,0,2
0,920008,0,101,139358,28621,54093,153,76207,1121,327746,200,0,2
0,920008,0,-232,139358,28621,54093,153,76207,1121,327746,200,0,2
0,920008,0,196,139358,28621,54093,153,76207,1121,327746,200,0,2
0,377115,0,23,998230,55769,330742,19055,241835,3786,1274780,200,0,2
0,377115,0,101,998230,55769,330742,19055,241835,3786,1274780,200,0,2
0,377115,0,523,998230,55769,330742,19055,241835,3786,1274780,200,0,2
0,377115,0,-354,998230,55769,330742,19055,241835,3786,1274780,200,0,2
0,377115,0,80,998230,55769,330742,19055,241835,3786,1274780,200,0,2
0,377115,0,326,998230,55769,330742,19055,241835,3786,1274780,200,0,2
0,377115,0,-678,998230,55769,330742,19055,241835,3786,1274780,200,0,2
0,377115,0,194,998230,55769,330742,19055,241835,3786,1274780,200,0,2
0,377115,0,-314,998230,55769,330742,19055,241835,3786,1274780,200,0,2
0,377115,0,-377,998230,55769,330742,19055,241835,3786,1274780,200,0,2
0,351695,0,2047,373049,6797,83374,4271,73767,1258,347101,200,0,2
0,351695,0,492,373049,6797,83374,4271,73767,1258,347101,200,0,2
0,351695,0,-506,373049,6797,83374,4271,73767,1258,347101,200,0,2
0,351695,0,-412,373049,6797,83374,4271,73767,1258,347101,200,0,2
0,351695,0,169,373049,6797,83374,4271,73767,1258,347101,200,0,2
0,351695,0,228,373049,6797,83374,4271,73767,1258,347101,200,0,2
0,351695,0,429,373049,6797,83374,4271,73767,1258,347101,200,0,2
0,351695,0,242,373049,6797,83374,4271,73767,1258,347101,200,0,2
0,351695,0,-374,373049,6797,83374,4271,73767,1258,347101,200,0,2
0,351695,0,-490,373049,6797,83374,4271,73767,1258,347101,200,0,2
0,723260,0,118,189974,6499,29482,5842,20854,5649,140499,200,0,2
0,723260,0,422,189974,6499,29482,5842,20854,5649,140499,200,0,2
0,723260,0,-233,189974,6499,29482,5842,20854,5649,140499,200,0,2
0,723260,0,-676,189974,6499,29482,5842,20854,5649,140499,200,0,2
0,723260,0,-387,189974,6499,29482,5842,20854,5649,140499,200,0,2
0,723260,0,-388,189974,6499,29482,5842,20854,5649,140499,200,0,2
0,723260,0,826,189974,6499,29482,5842,20854,5649,140499,200,0,2
0,723260,0,-517,189974,6499,29482,5842,20854,5649,140499,200,0,2
0,723260,0,234,189974,6499,29482,5842,20854,5649,140499,200,0,2
0,1021104,0,571,1051849,100131,227861,9165,283600,2128,1304374,200,0,2
0,1021104,0,631,1051849,100131,227861,9165,283600,2128,1304374,200,0,2
0,1021104,0,401,1051849,100131,227861,9165,283600,2128,1304374,200,0,2
0,1021104,0,265,1051849,100131,227861,9165,283600,2128,1304374,200,0,2
0,1021104,0,-237,1051849,100131,227861,9165,283600,2128,1304374,200,0,2
0,1021104,0,-269,1051849,100131,227861,9165,283600,2128,1304374,200,0,2
0,1021104,0,-498,1051849,100131,227861,9165,283600,2128,1304374,200,0,2
0,1021104,0,642,1051849,100131,227861,9165,283600,2128,1304374,200,0,2
0,1021104,0,407,1051849,100131,227861,9165,283600,2128,1304374,200,0,2
0,1021104,0,-261,1051849,100131,227861,9165,283600,2128,1304374,200,0,2
0,1288688,0,-37,911091,19347,265216,6809,316872,3264,1184617,200,0,2
0,1288688,0,-881,911091,19347,265216,6809,316872,3264,1184617,200,0,2
0,1288688,0,-148,911091,19347,265216,6809,316872,3264,1184617,200,0,2
0,1288688,0,946,911091,19347,265216,6809,316872,3264,1184617,200,0,2
0,1288688,0,1123,911091,19347,265216,6809,316872,3264,1184617,200,0,2
0,1288688,0,361,911091,19347,265216,6809,316872,3264,1184617,200,0,2
