attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
70,103327,60,33,5173,620,4276,5643,8042,4544,9238,0,0,2
70,103327,60,-19,5173,620,4276,5643,8042,4544,9238,0,0,2
70,103327,60,147,5173,620,4276,5643,8042,4544,9238,0,0,2
70,103327,60,41,5173,620,4276,5643,8042,4544,9238,0,0,2
70,103327,60,40,5173,620,4276,5643,8042,4544,9238,0,0,2
70,103327,60,6,5173,620,4276,5643,8042,4544,9238,0,0,2
84,17869,80,41,2475,6880,24582,13315,20026,13061,32053,0,0,2
84,17869,80,148,2475,6880,24582,13315,20026,13061,32053,0,0,2
84,17869,80,36,2475,6880,24582,13315,20026,13061,32053,0,0,2
84,17869,80,326,2475,6880,24582,13315,20026,13061,32053,0,0,2
84,17869,80,-58,2475,6880,24582,13315,20026,13061,32053,0,0,2
84,17869,80,-232,2475,6880,24582,13315,20026,13061,32053,0,0,2
84,17869,80,-105,2475,6880,24582,13315,20026,13061,32053,0,0,2
84,17869,80,221,2475,6880,24582,13315,20026,13061,32053,0,0,2
84,17869,80,144,2475,6880,24582,13315,20026,13061,32053,0,0,2
84,17869,80,-40,2475,6880,24582,13315,20026,13061,32053,0,0,2
66,1846462,74,-28,564291,113874,26152,75810,13903,19898,20962,0,0,2
66,1846462,74,105,564291,113874,26152,75810,13903,19898,20962,0,0,2
66,1846462,74,83,564291,113874,26152,75810,13903,19898,20962,0,0,2
66,1846462,74,-3,564291,113874,26152,75810,13903,19898,20962,0,0,2
66,1846462,74,20,564291,113874,26152,75810,13903,19898,20962,0,0,2
66,1846462,74,18,564291,113874,26152,75810,13903,19898,20962,0,0,2
66,1846462,74,-114,564291,113874,26152,75810,13903,19898,20962,0,0,2
66,1846462,74,-19,564291,113874,26152,75810,13903,19898,20962,0,0,2
66,1846462,74,-186,564291,113874,26152,75810,13903,19898,20962,0,0,2
66,1846462,74,-21,564291,113874,26152,75810,13903,19898,20962,0,0,2
77,113243,81,340,16679,3647,4884,6418,2682,1192,1265,0,0,2
77,113243,81,-147,16679,3647,4884,6418,2682,1192,1265,0,0,2
77,113243,81,64,16679,3647,4884,6418,2682,1192,1265,0,0,2
77,113243,81,200,16679,3647,4884,6418,2682,1192,1265,0,0,2
77,113243,81,89,16679,3647,4884,6418,2682,1192,1265,0,0,2
77,113243,81,-56,16679,3647,4884,6418,2682,1192,1265,0,0,2
77,113243,81,17,16679,3647,4884,6418,2682,1192,1265,0,0,2
77,113243,81,-100,16679,3647,4884,6418,2682,1192,1265,0,0,2
77,113243,81,114,16679,3647,4884,6418,2682,1192,1265,0,0,2
77,113243,81,167,16679,3647,4884,6418,2682,1192,1265,0,0,2
53,320469,87,73,33585,13436,3530,6272,3297,2129,1218,0,0,2
53,320469,87,225,33585,13436,3530,6272,3297,2129,1218,0,0,2
53,320469,87,-377,33585,13436,3530,6272,3297,2129,1218,0,0,2
53,320469,87,-99,33585,13436,3530,6272,3297,2129,1218,0,0,2
53,320469,87,205,33585,13436,3530,6272,3297,2129,1218,0,0,2
53,320469,87,105,33585,13436,3530,6272,3297,2129,1218,0,0,2
53,320469,87,362,33585,13436,3530,6272,3297,2129,1218,0,0,2
53,320469,87,164,33585,13436,3530,6272,3297,2129,1218,0,0,2
53,320469,87,322,33585,13436,3530,6272,3297,2129,1218,0,0,2
53,320469,87,155,33585,13436,3530,6272,3297,2129,1218,0,0,2
26,732033,74,65,66762,3973,17024,13492,2690,4428,4405,0,0,2
26,732033,74,-44,66762,3973,17024,13492,2690,4428,4405,0,0,2
26,732033,74,53,66762,3973,17024,13492,2690,4428,4405,0,0,2
26,732033,74,92,66762,3973,17024,13492,2690,4428,4405,0,0,2
26,732033,74,50,66762,3973,17024,13492,2690,4428,4405,0,0,2
26,732033,74,99,66762,3973,17024,13492,2690,4428,4405,0,0,2
26,732033,74,48,66762,3973,17024,13492,2690,4428,4405,0,0,2
26,732033,74,-26,66762,3973,17024,13492,2690,4428,4405,0,0,2
26,732033,74,91,66762,3973,17024,13492,2690,4428,4405,0,0,2
26,732033,74,81,66762,3973,17024,13492,2690,4428,4405,0,0,2
41,583198,81,7,25806,7072,16761,13993,5278,16218,12275,0,0,2
41,583198,81,70,25806,7072,16761,13993,5278,16218,12275,0,0,2
41,583198,81,56,25806,7072,16761,13993,5278,16218,12275,0,0,2
41,583198,81,39,25806,7072,16761,13993,5278,16218,12275,0,0,2
41,583198,81,-140,25806,7072,16761,13993,5278,16218,12275,0,0,2
41,583198,81,-211,25806,7072,16761,13993,5278,16218,12275,0,0,2
41,583198,81,156,25806,7072,16761,13993,5278,16218,12275,0,0,2
41,583198,81,21,25806,7072,16761,13993,5278,16218,12275,0,0,2
41,583198,81,138,25806,7072,16761,13993,5278,16218,12275,0,0,2
41,583198,81,61,25806,7072,16761,13993,5278,16218,12275,0,0,2
30,213440,87,53,54643,33362,1945,2456,2874,3432,1561,0,0,2
30,213440,87,-78,54643,33362,1945,2456,2874,3432,1561,0,0,2
30,213440,87,4,54643,33362,1945,2456,2874,3432,1561,0,0,2
30,213440,87,35,54643,33362,1945,2456,2874,3432,1561,0,0,2
30,213440,87,128,54643,33362,1945,2456,2874,3432,1561,0,0,2
30,213440,87,438,54643,33362,1945,2456,2874,3432,1561,0,0,2
30,213440,87,-550,54643,33362,1945,2456,2874,3432,1561,0,0,2
30,213440,87,73,54643,33362,1945,2456,2874,3432,1561,0,0,2
30,213440,87,235,54643,33362,1945,2456,2874,3432,1561,0,0,2
30,213440,87,20,54643,33362,1945,2456,2874,3432,1561,0,0,2
37,2138725,97,-25,113571,208344,6500,25816,33705,12152,15422,0,0,2
37,2138725,97,-174,113571,208344,6500,25816,33705,12152,15422,0,0,2
37,2138725,97,-45,113571,208344,6500,25816,33705,12152,15422,0,0,2
37,2138725,97,65,113571,208344,6500,25816,33705,12152,15422,0,0,2
37,2138725,97,150,113571,208344,6500,25816,33705,12152,15422,0,0,2
37,2138725,97,96,113571,208344,6500,25816,33705,12152,15422,0,0,2
37,2138725,97,80,113571,208344,6500,25816,33705,12152,15422,0,0,2
37,2138725,97,-228,113571,208344,6500,25816,33705,12152,15422,0,0,2
37,2138725,97,74,113571,208344,6500,25816,33705,12152,15422,0,0,2
37,2138725,97,-19,113571,208344,6500,25816,33705,12152,15422,0,0,2
50,1769169,100,153,771861,636003,169984,494686,229385,126698,114612,0,0,2
50,1769169,100,-81,771861,636003,169984,494686,229385,126698,114612,0,0,2
50,1769169,100,-6,771861,636003,169984,494686,229385,126698,114612,0,0,2
50,1769169,100,24,771861,636003,169984,494686,229385,126698,114612,0,0,2
50,1769169,100,89,771861,636003,169984,494686,229385,126698,114612,0,0,2
50,1769169,100,73,771861,636003,169984,494686,229385,126698,114612,0,0,2
50,1769169,100,56,771861,636003,169984,494686,229385,126698,114612,0,0,2
50,1769169,100,26,771861,636003,169984,494686,229385,126698,114612,0,0,2
50,1769169,100,53,771861,636003,169984,494686,229385,126698,114612,0,0,2
50,1769169,100,-30,771861,636003,169984,494686,229385,126698,114612,0,0,2
47,290121,97,92,186273,25019,25584,19701,15682,6954,18498,0,0,2
47,290121,97,88,186273,25019,25584,19701,15682,6954,18498,0,0,2
47,290121,97,115,186273,25019,25584,19701,15682,6954,18498,0,0,2
47,290121,97,167,186273,25019,25584,19701,15682,6954,18498,0,0,2
47,290121,97,114,186273,25019,25584,19701,15682,6954,18498,0,0,2
47,290121,97,3,186273,25019,25584,19701,15682,6954,18498,0,0,2
47,290121,97,-9,186273,25019,25584,19701,15682,6954,18498,0,0,2
47,290121,97,38,186273,25019,25584,19701,15682,6954,18498,0,0,2
47,290121,97,65,186273,25019,25584,19701,15682,6954,18498,0,0,2
60,173384,93,54,61276,13023,18712,9588,12877,14967,9905,0,0,2
60,173384,93,72,61276,13023,18712,9588,12877,14967,9905,0,0,2
60,173384,93,137,61276,13023,18712,9588,12877,14967,9905,0,0,2
60,173384,93,61,61276,13023,18712,9588,12877,14967,9905,0,0,2
60,173384,93,75,61276,13023,18712,9588,12877,14967,9905,0,0,2
60,173384,93,-28,61276,13023,18712,9588,12877,14967,9905,0,0,2
60,173384,93,8,61276,13023,18712,9588,12877,14967,9905,0,0,2
60,173384,93,52,61276,13023,18712,9588,12877,14967,9905,0,0,2
60,173384,93,35,61276,13023,18712,9588,12877,14967,9905,0,0,2
60,173384,93,161,61276,13023,18712,9588,12877,14967,9905,0,0,2
54,126549,77,106,169409,29771,22742,16465,13555,8795,9408,0,0,2
54,126549,77,81,169409,29771,22742,16465,13555,8795,9408,0,0,2
54,126549,77,43,169409,29771,22742,16465,13555,8795,9408,0,0,2
54,126549,77,21,169409,29771,22742,16465,13555,8795,9408,0,0,2
54,126549,77,130,169409,29771,22742,16465,13555,8795,9408,0,0,2
54,126549,77,70,169409,29771,22742,16465,13555,8795,9408,0,0,2
54,126549,77,91,169409,29771,22742,16465,13555,8795,9408,0,0,2
54,126549,77,7,169409,29771,22742,16465,13555,8795,9408,0,0,2
54,126549,77,137,169409,29771,22742,16465,13555,8795,9408,0,0,2
54,126549,77,-58,169409,29771,22742,16465,13555,8795,9408,0,0,2
43,73034,78,-202,42893,26792,5120,9169,3253,1097,2085,0,0,2
43,73034,78,53,42893,26792,5120,9169,3253,1097,2085,0,0,2
43,73034,78,86,42893,26792,5120,9169,3253,1097,2085,0,0,2
43,73034,78,103,42893,26792,5120,9169,3253,1097,2085,0,0,2
43,73034,78,100,42893,26792,5120,9169,3253,1097,2085,0,0,2
43,73034,78,73,42893,26792,5120,9169,3253,1097,2085,0,0,2
43,73034,78,75,42893,26792,5120,9169,3253,1097,2085,0,0,2
43,73034,78,11,42893,26792,5120,9169,3253,1097,2085,0,0,2
43,73034,78,-19,42893,26792,5120,9169,3253,1097,2085,0,0,2
43,73034,78,16,42893,26792,5120,9169,3253,1097,2085,0,0,2
43,1040264,81,74,159660,31716,37237,24307,15894,12375,7710,0,0,2
43,1040264,81,-30,159660,31716,37237,24307,15894,12375,7710,0,0,2
43,1040264,81,112,159660,31716,37237,24307,15894,12375,7710,0,0,2
43,1040264,81,-76,159660,31716,37237,24307,15894,12375,7710,0,0,2
43,1040264,81,151,159660,31716,37237,24307,15894,12375,7710,0,0,2
43,1040264,81,-27,159660,31716,37237,24307,15894,12375,7710,0,0,2
43,1040264,81,20,159660,31716,37237,24307,15894,12375,7710,0,0,2
43,1040264,81,25,159660,31716,37237,24307,15894,12375,7710,0,0,2
