attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
7,102144,56,168,68741,50904,16164,9589,4968,3585,1815,0,0,2
7,102144,56,400,68741,50904,16164,9589,4968,3585,1815,0,0,2
7,102144,56,315,68741,50904,16164,9589,4968,3585,1815,0,0,2
20,846386,51,194,60752,8766,7290,5117,5264,4364,5607,0,0,2
20,846386,51,168,60752,8766,7290,5117,5264,4364,5607,0,0,2
20,846386,51,-44,60752,8766,7290,5117,5264,4364,5607,0,0,2
20,846386,51,17,60752,8766,7290,5117,5264,4364,5607,0,0,2
20,846386,51,125,60752,8766,7290,5117,5264,4364,5607,0,0,2
20,846386,51,-22,60752,8766,7290,5117,5264,4364,5607,0,0,2
20,846386,51,164,60752,8766,7290,5117,5264,4364,5607,0,0,2
20,846386,51,-67,60752,8766,7290,5117,5264,4364,5607,0,0,2
20,846386,51,-8,60752,8766,7290,5117,5264,4364,5607,0,0,2
20,846386,51,59,60752,8766,7290,5117,5264,4364,5607,0,0,2
21,2086240,69,80,138477,69774,43618,16981,10043,7064,6401,0,0,2
21,2086240,69,166,138477,69774,43618,16981,10043,7064,6401,0,0,2
21,2086240,69,28,138477,69774,43618,16981,10043,7064,6401,0,0,2
21,2086240,69,-131,138477,69774,43618,16981,10043,7064,6401,0,0,2
21,2086240,69,-61,138477,69774,43618,16981,10043,7064,6401,0,0,2
21,2086240,69,-45,138477,69774,43618,16981,10043,7064,6401,0,0,2
21,2086240,69,519,138477,69774,43618,16981,10043,7064,6401,0,0,2
21,2086240,69,-19,138477,69774,43618,16981,10043,7064,6401,0,0,2
21,2086240,69,51,138477,69774,43618,16981,10043,7064,6401,0,0,2
21,2086240,69,-219,138477,69774,43618,16981,10043,7064,6401,0,0,2
37,786957,63,220,352595,35160,35500,21740,44824,16076,13728,0,0,2
37,786957,63,164,352595,35160,35500,21740,44824,16076,13728,0,0,2
37,786957,63,132,352595,35160,35500,21740,44824,16076,13728,0,0,2
37,786957,63,11,352595,35160,35500,21740,44824,16076,13728,0,0,2
37,786957,63,-90,352595,35160,35500,21740,44824,16076,13728,0,0,2
37,786957,63,-35,352595,35160,35500,21740,44824,16076,13728,0,0,2
37,786957,63,416,352595,35160,35500,21740,44824,16076,13728,0,0,2
37,786957,63,-462,352595,35160,35500,21740,44824,16076,13728,0,0,2
37,786957,63,-1202,352595,35160,35500,21740,44824,16076,13728,0,0,2
37,786957,63,291,352595,35160,35500,21740,44824,16076,13728,0,0,2
30,1117237,48,1184,292944,42598,45160,19259,8831,5168,1708,0,0,2
30,1117237,48,481,292944,42598,45160,19259,8831,5168,1708,0,0,2
30,1117237,48,116,292944,42598,45160,19259,8831,5168,1708,0,0,2
30,1117237,48,49,292944,42598,45160,19259,8831,5168,1708,0,0,2
30,1117237,48,76,292944,42598,45160,19259,8831,5168,1708,0,0,2
30,1117237,48,-57,292944,42598,45160,19259,8831,5168,1708,0,0,2
30,1117237,48,33,292944,42598,45160,19259,8831,5168,1708,0,0,2
30,1117237,48,3,292944,42598,45160,19259,8831,5168,1708,0,0,2
30,1117237,48,0,292944,42598,45160,19259,8831,5168,1708,0,0,2
30,1117237,48,-42,292944,42598,45160,19259,8831,5168,1708,0,0,2
30,620399,48,54,21380,5329,2135,2463,1582,867,269,26,0,2
30,620399,48,65,21380,5329,2135,2463,1582,867,269,26,0,2
30,620399,48,45,21380,5329,2135,2463,1582,867,269,26,0,2
30,620399,48,28,21380,5329,2135,2463,1582,867,269,26,0,2
30,620399,48,17,21380,5329,2135,2463,1582,867,269,26,0,2
30,620399,48,8,21380,5329,2135,2463,1582,867,269,26,0,2
30,620399,48,26,21380,5329,2135,2463,1582,867,269,26,0,2
30,620399,48,2,21380,5329,2135,2463,1582,867,269,26,0,2
30,620399,48,20,21380,5329,2135,2463,1582,867,269,26,0,2
30,620399,48,21,21380,5329,2135,2463,1582,867,269,26,0,2
35,26597,67,42,22766,23366,9893,4201,4833,1998,3531,0,0,2
35,26597,67,13,22766,23366,9893,4201,4833,1998,3531,0,0,2
35,26597,67,90,22766,23366,9893,4201,4833,1998,3531,0,0,2
35,26597,67,-164,22766,23366,9893,4201,4833,1998,3531,0,0,2
35,26597,67,8,22766,23366,9893,4201,4833,1998,3531,0,0,2
35,26597,67,85,22766,23366,9893,4201,4833,1998,3531,0,0,2
35,26597,67,85,22766,23366,9893,4201,4833,1998,3531,0,0,2
35,26597,67,89,22766,23366,9893,4201,4833,1998,3531,0,0,2
35,26597,67,68,22766,23366,9893,4201,4833,1998,3531,0,0,2
35,26597,67,23,22766,23366,9893,4201,4833,1998,3531,0,0,2
38,241213,57,83,27069,5071,4146,2705,1753,1411,911,0,0,2
38,241213,57,27,27069,5071,4146,2705,1753,1411,911,0,0,2
38,241213,57,39,27069,5071,4146,2705,1753,1411,911,0,0,2
38,241213,57,21,27069,5071,4146,2705,1753,1411,911,0,0,2
38,241213,57,98,27069,5071,4146,2705,1753,1411,911,0,0,2
38,241213,57,86,27069,5071,4146,2705,1753,1411,911,0,0,2
38,241213,57,-24,27069,5071,4146,2705,1753,1411,911,0,0,2
38,241213,57,81,27069,5071,4146,2705,1753,1411,911,0,0,2
38,241213,57,10,27069,5071,4146,2705,1753,1411,911,0,0,2
38,241213,57,8,27069,5071,4146,2705,1753,1411,911,0,0,2
26,100638,84,74,108433,136358,22182,1632,11855,2608,6518,0,0,2
