attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength
0,186785,0,678,73370,9781,47810,26259,39445,19678,70884,200,0
0,186785,0,763,73370,9781,47810,26259,39445,19678,70884,200,0
0,186785,0,1913,73370,9781,47810,26259,39445,19678,70884,200,0
0,186785,0,-2048,73370,9781,47810,26259,39445,19678,70884,200,0
0,186785,0,-290,73370,9781,47810,26259,39445,19678,70884,200,0
0,186785,0,-1925,73370,9781,47810,26259,39445,19678,70884,200,0
0,186785,0,1098,73370,9781,47810,26259,39445,19678,70884,200,0
0,186785,0,1537,73370,9781,47810,26259,39445,19678,70884,200,0
0,186785,0,1328,73370,9781,47810,26259,39445,19678,70884,200,0
0,1410430,0,-1597,186168,67718,98285,49038,213911,103927,476337,200,0
0,1410430,0,401,186168,67718,98285,49038,213911,103927,476337,200,0
0,1410430,0,800,186168,67718,98285,49038,213911,103927,476337,200,0
0,1410430,0,760,186168,67718,98285,49038,213911,103927,476337,200,0
0,1410430,0,843,186168,67718,98285,49038,213911,103927,476337,200,0
0,1410430,0,768,186168,67718,98285,49038,213911,103927,476337,200,0
0,1410430,0,-974,186168,67718,98285,49038,213911,103927,476337,200,0
0,1410430,0,-1362,186168,67718,98285,49038,213911,103927,476337,200,0
0,1410430,0,-387,186168,67718,98285,49038,213911,103927,476337,200,0
0,960596,0,620,178264,87584,114339,171141,218834,165914,670743,200,0
0,960596,0,-1734,178264,87584,114339,171141,218834,165914,670743,200,0
0,960596,0,-1102,178264,87584,114339,171141,218834,165914,670743,200,0
0,960596,0,183,178264,87584,114339,171141,218834,165914,670743,200,0
0,960596,0,802,178264,87584,114339,171141,218834,165914,670743,200,0
0,960596,0,800,178264,87584,114339,171141,218834,165914,670743,200,0
0,960596,0,982,178264,87584,114339,171141,218834,165914,670743,200,0
0,960596,0,867,178264,87584,114339,171141,218834,165914,670743,200,0
0,960596,0,-1750,178264,87584,114339,171141,218834,165914,670743,200,0
0,960596,0,-1860,178264,87584,114339,171141,218834,165914,670743,200,0
0,565190,0,1109,236990,664908,976760,1360928,425811,407373,1259893,200,0
0,565190,0,1042,236990,664908,976760,1360928,425811,407373,1259893,200,0
0,565190,0,-470,236990,664908,976760,1360928,425811,407373,1259893,200,0
0,565190,0,-2048,236990,664908,976760,1360928,425811,407373,1259893,200,0
0,565190,0,-630,236990,664908,976760,1360928,425811,407373,1259893,200,0
0,565190,0,700,236990,664908,976760,1360928,425811,407373,1259893,200,0
0,565190,0,1208,236990,664908,976760,1360928,425811,407373,1259893,200,0
0,565190,0,1340,236990,664908,976760,1360928,425811,407373,1259893,200,0
0,565190,0,1272,236990,664908,976760,1360928,425811,407373,1259893,200,0
0,565190,0,-363,236990,664908,976760,1360928,425811,407373,1259893,200,0
0,70162,0,1344,77885,8295,103563,25322,38946,47121,47832,200,0
0,70162,0,1508,77885,8295,103563,25322,38946,47121,47832,200,0
0,70162,0,1333,77885,8295,103563,25322,38946,47121,47832,200,0
0,70162,0,-1166,77885,8295,103563,25322,38946,47121,47832,200,0
0,70162,0,-2048,77885,8295,103563,25322,38946,47121,47832,200,0
0,70162,0,-1709,77885,8295,103563,25322,38946,47121,47832,200,0
0,70162,0,457,77885,8295,103563,25322,38946,47121,47832,200,0
0,70162,0,1512,77885,8295,103563,25322,38946,47121,47832,200,0
0,70162,0,1624,77885,8295,103563,25322,38946,47121,47832,200,0
0,70162,0,1676,77885,8295,103563,25322,38946,47121,47832,200,0
0,414112,0,-595,545245,124625,653528,294150,124777,137239,354759,200,0
0,414112,0,1217,545245,124625,653528,294150,124777,137239,354759,200,0
0,414112,0,1681,545245,124625,653528,294150,124777,137239,354759,200,0
0,414112,0,1814,545245,124625,653528,294150,124777,137239,354759,200,0
0,414112,0,1216,545245,124625,653528,294150,124777,137239,354759,200,0
0,414112,0,1810,545245,124625,653528,294150,124777,137239,354759,200,0
0,414112,0,586,545245,124625,653528,294150,124777,137239,354759,200,0
0,414112,0,-675,545245,124625,653528,294150,124777,137239,354759,200,0
0,414112,0,-2048,545245,124625,653528,294150,124777,137239,354759,200,0
0,414112,0,-897,545245,124625,653528,294150,124777,137239,354759,200,0
0,857783,0,-2048,539199,141645,87618,70825,275790,99553,838862,200,0
0,857783,0,-2048,539199,141645,87618,70825,275790,99553,838862,200,0
0,857783,0,-225,539199,141645,87618,70825,275790,99553,838862,200,0
0,857783,0,1543,539199,141645,87618,70825,275790,99553,838862,200,0
0,857783,0,1721,539199,141645,87618,70825,275790,99553,838862,200,0
0,857783,0,1869,539199,141645,87618,70825,275790,99553,838862,200,0
0,857783,0,331,539199,141645,87618,70825,275790,99553,838862,200,0
0,857783,0,-1868,539199,141645,87618,70825,275790,99553,838862,200,0
0,857783,0,-2048,539199,141645,87618,70825,275790,99553,838862,200,0
0,857783,0,-791,539199,141645,87618,70825,275790,99553,838862,200,0
0,1094708,0,1476,800229,46326,424061,140779,119648,61218,706997,200,0
0,1094708,0,-1595,800229,46326,424061,140779,119648,61218,706997,200,0
0,1094708,0,-2048,800229,46326,424061,140779,119648,61218,706997,200,0
0,1094708,0,-1196,800229,46326,424061,140779,119648,61218,706997,200,0
0,1094708,0,581,800229,46326,424061,140779,119648,61218,706997,200,0
0,1094708,0,1808,800229,46326,424061,140779,119648,61218,706997,200,0
0,1094708,0,1985,800229,46326,424061,140779,119648,61218,706997,200,0
0,1094708,0,1705,800229,46326,424061,140779,119648,61218,706997,200,0
0,1094708,0,-814,800229,46326,424061,140779,119648,61218,706997,200,0
0,1094708,0,-2048,800229,46326,424061,140779,119648,61218,706997,200,0
0,126142,0,1992,684743,190098,149370,50507,228840,260659,693768,200,0
0,126142,0,909,684743,190098,149370,50507,228840,260659,693768,200,0
0,126142,0,-1377,684743,190098,149370,50507,228840,260659,693768,200,0
0,126142,0,-2048,684743,190098,149370,50507,228840,260659,693768,200,0
0,126142,0,-1525,684743,190098,149370,50507,228840,260659,693768,200,0
0,126142,0,471,684743,190098,149370,50507,228840,260659,693768,200,0
0,126142,0,1872,684743,190098,149370,50507,228840,260659,693768,200,0
0,126142,0,1987,684743,190098,149370,50507,228840,260659,693768,200,0
0,126142,0,1482,684743,190098,149370,50507,228840,260659,693768,200,0
0,126142,0,-738,684743,190098,149370,50507,228840,260659,693768,200,0
0,1400760,0,-1281,390821,298039,385010,105064,215306,146263,604699,200,0
0,1400760,0,2007,390821,298039,385010,105064,215306,146263,604699,200,0
0,1400760,0,1905,390821,298039,385010,105064,215306,146263,604699,200,0
