attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
78,2964713,87,243,28303,58021,4411,24577,20204,7343,169553,0,0,2
78,2964713,87,24,28303,58021,4411,24577,20204,7343,169553,0,0,2
78,2964713,87,29,28303,58021,4411,24577,20204,7343,169553,0,0,2
78,2964713,87,11,28303,58021,4411,24577,20204,7343,169553,0,0,2
78,2964713,87,219,28303,58021,4411,24577,20204,7343,169553,0,0,2
78,2964713,87,45,28303,58021,4411,24577,20204,7343,169553,0,0,2
78,2964713,87,-52,28303,58021,4411,24577,20204,7343,169553,0,0,2
78,2964713,87,-42,28303,58021,4411,24577,20204,7343,169553,0,0,2
80,593024,78,151,211845,8311,50395,6803,15231,6932,180339,0,0,2
80,593024,78,89,211845,8311,50395,6803,15231,6932,180339,0,0,2
80,593024,78,-114,211845,8311,50395,6803,15231,6932,180339,0,0,2
80,593024,78,81,211845,8311,50395,6803,15231,6932,180339,0,0,2
80,593024,78,123,211845,8311,50395,6803,15231,6932,180339,0,0,2
80,593024,78,164,211845,8311,50395,6803,15231,6932,180339,0,0,2
80,593024,78,-37,211845,8311,50395,6803,15231,6932,180339,0,0,2
80,593024,78,21,211845,8311,50395,6803,15231,6932,180339,0,0,2
80,593024,78,185,211845,8311,50395,6803,15231,6932,180339,0,0,2
80,593024,78,-102,211845,8311,50395,6803,15231,6932,180339,0,0,2
75,531367,64,42,43620,6455,2429,3169,4007,1357,44033,0,0,2
75,531367,64,214,43620,6455,2429,3169,4007,1357,44033,0,0,2
75,531367,64,-153,43620,6455,2429,3169,4007,1357,44033,0,0,2
75,531367,64,-13,43620,6455,2429,3169,4007,1357,44033,0,0,2
75,531367,64,308,43620,6455,2429,3169,4007,1357,44033,0,0,2
75,531367,64,-182,43620,6455,2429,3169,4007,1357,44033,0,0,2
75,531367,64,72,43620,6455,2429,3169,4007,1357,44033,0,0,2
75,531367,64,249,43620,6455,2429,3169,4007,1357,44033,0,0,2
75,531367,64,-92,43620,6455,2429,3169,4007,1357,44033,0,0,2
75,531367,64,-29,43620,6455,2429,3169,4007,1357,44033,0,0,2
57,381933,60,125,46862,9924,5056,9791,2317,993,45099,0,0,2
57,381933,60,-171,46862,9924,5056,9791,2317,993,45099,0,0,2
