attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength,label
83,1161092,100,179,156111,316615,69611,36303,20331,5590,299542,0,0,2
83,1161092,100,123,156111,316615,69611,36303,20331,5590,299542,0,0,2
83,1161092,100,112,156111,316615,69611,36303,20331,5590,299542,0,0,2
83,1161092,100,4,156111,316615,69611,36303,20331,5590,299542,0,0,2
83,1161092,100,-37,156111,316615,69611,36303,20331,5590,299542,0,0,2
64,2358227,87,146,517137,81907,65628,52155,28103,21050,348307,0,0,2
64,2358227,87,33,517137,81907,65628,52155,28103,21050,348307,0,0,2
64,2358227,87,-24,517137,81907,65628,52155,28103,21050,348307,0,0,2
64,2358227,87,-67,517137,81907,65628,52155,28103,21050,348307,0,0,2
64,2358227,87,121,517137,81907,65628,52155,28103,21050,348307,0,0,2
64,2358227,87,-206,517137,81907,65628,52155,28103,21050,348307,0,0,2
64,2358227,87,-53,517137,81907,65628,52155,28103,21050,348307,0,0,2
64,2358227,87,105,517137,81907,65628,52155,28103,21050,348307,0,0,2
64,2358227,87,105,517137,81907,65628,52155,28103,21050,348307,0,0,2
35,104968,63,162,56004,5259,5557,2279,2042,1194,84518,0,0,2
35,104968,63,117,56004,5259,5557,2279,2042,1194,84518,0,0,2
35,104968,63,34,56004,5259,5557,2279,2042,1194,84518,0,0,2
35,104968,63,60,56004,5259,5557,2279,2042,1194,84518,0,0,2
35,104968,63,151,56004,5259,5557,2279,2042,1194,84518,0,0,2
35,104968,63,-42,56004,5259,5557,2279,2042,1194,84518,0,0,2
35,104968,63,-19,56004,5259,5557,2279,2042,1194,84518,0,0,2
35,104968,63,56,56004,5259,5557,2279,2042,1194,84518,0,0,2
35,104968,63,136,56004,5259,5557,2279,2042,1194,84518,0,0,2
35,104968,63,37,56004,5259,5557,2279,2042,1194,84518,0,0,2
21,239361,51,-251,325581,9497,31580,6033,15788,11837,368324,0,0,2
21,239361,51,139,325581,9497,31580,6033,15788,11837,368324,0,0,2
21,239361,51,135,325581,9497,31580,6033,15788,11837,368324,0,0,2
21,239361,51,115,325581,9497,31580,6033,15788,11837,368324,0,0,2
21,239361,51,-54,325581,9497,31580,6033,15788,11837,368324,0,0,2
21,239361,51,120,325581,9497,31580,6033,15788,11837,368324,0,0,2
21,239361,51,25,325581,9497,31580,6033,15788,11837,368324,0,0,2
21,239361,51,75,325581,9497,31580,6033,15788,11837,368324,0,0,2
21,239361,51,72,325581,9497,31580,6033,15788,11837,368324,0,0,2
21,239361,51,87,325581,9497,31580,6033,15788,11837,368324,0,0,2
