attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength
0,1537784,0,-442,441651,10589,46316,43956,26295,11403,91757,26,0
0,1537784,0,800,441651,10589,46316,43956,26295,11403,91757,26,0
0,1537784,0,-577,441651,10589,46316,43956,26295,11403,91757,26,0
0,1537784,0,1113,441651,10589,46316,43956,26295,11403,91757,26,0
0,1537784,0,864,441651,10589,46316,43956,26295,11403,91757,26,0
0,1119257,0,-346,1513474,81752,378607,80215,670164,78442,1741633,26,0
0,1119257,0,130,1513474,81752,378607,80215,670164,78442,1741633,26,0
0,1119257,0,230,1513474,81752,378607,80215,670164,78442,1741633,26,0
0,1119257,0,753,1513474,81752,378607,80215,670164,78442,1741633,26,0
0,1119257,0,608,1513474,81752,378607,80215,670164,78442,1741633,26,0
0,1119257,0,-738,1513474,81752,378607,80215,670164,78442,1741633,26,0
0,1119257,0,-650,1513474,81752,378607,80215,670164,78442,1741633,26,0
0,1119257,0,-116,1513474,81752,378607,80215,670164,78442,1741633,26,0
0,1119257,0,-33,1513474,81752,378607,80215,670164,78442,1741633,26,0
0,1119257,0,243,1513474,81752,378607,80215,670164,78442,1741633,26,0
0,858853,0,-549,479693,64431,137159,11754,111809,1907,638216,26,0
0,858853,0,-1079,479693,64431,137159,11754,111809,1907,638216,26,0
0,858853,0,-286,479693,64431,137159,11754,111809,1907,638216,26,0
0,858853,0,229,479693,64431,137159,11754,111809,1907,638216,26,0
0,858853,0,611,479693,64431,137159,11754,111809,1907,638216,26,0
0,858853,0,2047,479693,64431,137159,11754,111809,1907,638216,26,0
0,858853,0,-819,479693,64431,137159,11754,111809,1907,638216,26,0
0,858853,0,-811,479693,64431,137159,11754,111809,1907,638216,26,0
0,858853,0,965,479693,64431,137159,11754,111809,1907,638216,26,0
0,601194,0,-311,444637,25068,32626,61514,93823,18177,265966,51,0
0,601194,0,-483,444637,25068,32626,61514,93823,18177,265966,51,0
0,601194,0,-1460,444637,25068,32626,61514,93823,18177,265966,51,0
0,601194,0,755,444637,25068,32626,61514,93823,18177,265966,51,0
0,601194,0,-1141,444637,25068,32626,61514,93823,18177,265966,51,0
0,601194,0,371,444637,25068,32626,61514,93823,18177,265966,51,0
0,601194,0,979,444637,25068,32626,61514,93823,18177,265966,51,0
0,601194,0,-267,444637,25068,32626,61514,93823,18177,265966,51,0
0,601194,0,565,444637,25068,32626,61514,93823,18177,265966,51,0
0,601194,0,-596,444637,25068,32626,61514,93823,18177,265966,51,0
0,1849791,0,-540,1340399,428885,509153,78301,307022,16986,1765156,26,0
0,1849791,0,1544,1340399,428885,509153,78301,307022,16986,1765156,26,0
0,1849791,0,-185,1340399,428885,509153,78301,307022,16986,1765156,26,0
0,1849791,0,-1541,1340399,428885,509153,78301,307022,16986,1765156,26,0
0,1849791,0,1069,1340399,428885,509153,78301,307022,16986,1765156,26,0
0,1849791,0,181,1340399,428885,509153,78301,307022,16986,1765156,26,0
0,1849791,0,564,1340399,428885,509153,78301,307022,16986,1765156,26,0
0,1849791,0,577,1340399,428885,509153,78301,307022,16986,1765156,26,0
0,1849791,0,-1363,1340399,428885,509153,78301,307022,16986,1765156,26,0
0,1849791,0,1002,1340399,428885,509153,78301,307022,16986,1765156,26,0
0,2118636,0,1402,497126,18526,227248,96665,98182,55656,927212,51,0
