attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength
29,639425,40,-327,707415,7979,212901,2408,147257,3386,825378,0,0
29,639425,40,-2,707415,7979,212901,2408,147257,3386,825378,0,0
29,639425,40,-177,707415,7979,212901,2408,147257,3386,825378,0,0
29,639425,40,421,707415,7979,212901,2408,147257,3386,825378,0,0
34,607879,48,-114,344845,200282,15192,4895,107442,1010,836243,0,0
34,607879,48,-420,344845,200282,15192,4895,107442,1010,836243,0,0
34,607879,48,73,344845,200282,15192,4895,107442,1010,836243,0,0
34,607879,48,421,344845,200282,15192,4895,107442,1010,836243,0,0
34,607879,48,536,344845,200282,15192,4895,107442,1010,836243,0,0
34,607879,48,72,344845,200282,15192,4895,107442,1010,836243,0,0
34,607879,48,-467,344845,200282,15192,4895,107442,1010,836243,0,0
34,607879,48,-41,344845,200282,15192,4895,107442,1010,836243,0,0
34,607879,48,-102,344845,200282,15192,4895,107442,1010,836243,0,0
34,607879,48,341,344845,200282,15192,4895,107442,1010,836243,0,0
29,512371,57,-373,599029,23515,195837,8046,146131,3508,818406,0,0
29,512371,57,444,599029,23515,195837,8046,146131,3508,818406,0,0
29,512371,57,-147,599029,23515,195837,8046,146131,3508,818406,0,0
29,512371,57,437,599029,23515,195837,8046,146131,3508,818406,0,0
29,512371,57,-4,599029,23515,195837,8046,146131,3508,818406,0,0
29,512371,57,341,599029,23515,195837,8046,146131,3508,818406,0,0
29,512371,57,521,599029,23515,195837,8046,146131,3508,818406,0,0
29,512371,57,2,599029,23515,195837,8046,146131,3508,818406,0,0
29,512371,57,-524,599029,23515,195837,8046,146131,3508,818406,0,0
29,512371,57,-259,599029,23515,195837,8046,146131,3508,818406,0,0
41,788077,53,746,457669,80003,154319,3621,128415,1820,801099,0,0
41,788077,53,-510,457669,80003,154319,3621,128415,1820,801099,0,0
41,788077,53,-504,457669,80003,154319,3621,128415,1820,801099,0,0
