attention,delta,meditation,rawValue,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength
0,365902,0,1655,71937,32734,28538,56816,95512,138055,184329,200,0
0,365902,0,231,71937,32734,28538,56816,95512,138055,184329,200,0
0,365902,0,104,71937,32734,28538,56816,95512,138055,184329,200,0
0,365902,0,52,71937,32734,28538,56816,95512,138055,184329,200,0
0,365902,0,-801,71937,32734,28538,56816,95512,138055,184329,200,0
0,365902,0,738,71937,32734,28538,56816,95512,138055,184329,200,0
0,365902,0,160,71937,32734,28538,56816,95512,138055,184329,200,0
0,365902,0,67,71937,32734,28538,56816,95512,138055,184329,200,0
0,1329557,0,21,375111,8629,131483,229501,139800,39746,82494,200,0
0,1329557,0,1853,375111,8629,131483,229501,139800,39746,82494,200,0
0,1329557,0,541,375111,8629,131483,229501,139800,39746,82494,200,0
0,1329557,0,1980,375111,8629,131483,229501,139800,39746,82494,200,0
0,1329557,0,390,375111,8629,131483,229501,139800,39746,82494,200,0
0,1329557,0,99,375111,8629,131483,229501,139800,39746,82494,200,0
0,1329557,0,55,375111,8629,131483,229501,139800,39746,82494,200,0
0,1329557,0,-2048,375111,8629,131483,229501,139800,39746,82494,200,0
0,1329557,0,1306,375111,8629,131483,229501,139800,39746,82494,200,0
0,1329557,0,649,375111,8629,131483,229501,139800,39746,82494,200,0
0,341114,0,148,275296,162601,94796,156978,172783,83275,220965,200,0
0,341114,0,51,275296,162601,94796,156978,172783,83275,220965,200,0
0,341114,0,-155,275296,162601,94796,156978,172783,83275,220965,200,0
0,341114,0,1460,275296,162601,94796,156978,172783,83275,220965,200,0
0,341114,0,390,275296,162601,94796,156978,172783,83275,220965,200,0
0,341114,0,104,275296,162601,94796,156978,172783,83275,220965,200,0
0,341114,0,58,275296,162601,94796,156978,172783,83275,220965,200,0
0,341114,0,-1113,275296,162601,94796,156978,172783,83275,220965,200,0
0,341114,0,-710,275296,162601,94796,156978,172783,83275,220965,200,0
0,341114,0,1754,275296,162601,94796,156978,172783,83275,220965,200,0
0,990599,0,502,568688,41146,44673,214919,340592,136757,248488,200,0
0,990599,0,-2048,568688,41146,44673,214919,340592,136757,248488,200,0
0,990599,0,-757,568688,41146,44673,214919,340592,136757,248488,200,0
0,990599,0,1032,568688,41146,44673,214919,340592,136757,248488,200,0
0,990599,0,358,568688,41146,44673,214919,340592,136757,248488,200,0
0,990599,0,89,568688,41146,44673,214919,340592,136757,248488,200,0
0,990599,0,54,568688,41146,44673,214919,340592,136757,248488,200,0
0,990599,0,-2048,568688,41146,44673,214919,340592,136757,248488,200,0
0,990599,0,-19,568688,41146,44673,214919,340592,136757,248488,200,0
0,990599,0,790,568688,41146,44673,214919,340592,136757,248488,200,0
0,2005853,0,182,1221560,410610,344671,563818,371457,114802,585060,200,0
0,2005853,0,58,1221560,410610,344671,563818,371457,114802,585060,200,0
0,2005853,0,24,1221560,410610,344671,563818,371457,114802,585060,200,0
0,2005853,0,203,1221560,410610,344671,563818,371457,114802,585060,200,0
0,2005853,0,2047,1221560,410610,344671,563818,371457,114802,585060,200,0
0,2005853,0,405,1221560,410610,344671,563818,371457,114802,585060,200,0
0,2005853,0,114,1221560,410610,344671,563818,371457,114802,585060,200,0
0,2005853,0,91,1221560,410610,344671,563818,371457,114802,585060,200,0
0,2005853,0,-2048,1221560,410610,344671,563818,371457,114802,585060,200,0
0,2005853,0,-679,1221560,410610,344671,563818,371457,114802,585060,200,0
0,740356,0,2047,498255,102305,60764,87523,161492,66836,92140,200,0
0,740356,0,721,498255,102305,60764,87523,161492,66836,92140,200,0
0,740356,0,68,498255,102305,60764,87523,161492,66836,92140,200,0
0,740356,0,-5,498255,102305,60764,87523,161492,66836,92140,200,0
0,740356,0,-233,498255,102305,60764,87523,161492,66836,92140,200,0
0,740356,0,235,498255,102305,60764,87523,161492,66836,92140,200,0
0,740356,0,-529,498255,102305,60764,87523,161492,66836,92140,200,0
0,740356,0,2047,498255,102305,60764,87523,161492,66836,92140,200,0
0,740356,0,745,498255,102305,60764,87523,161492,66836,92140,200,0
0,740356,0,39,498255,102305,60764,87523,161492,66836,92140,200,0
0,249346,0,134,810234,76422,138216,74136,66974,80954,268716,200,0
0,249346,0,122,810234,76422,138216,74136,66974,80954,268716,200,0
0,249346,0,-433,810234,76422,138216,74136,66974,80954,268716,200,0
0,249346,0,-602,810234,76422,138216,74136,66974,80954,268716,200,0
0,249346,0,-747,810234,76422,138216,74136,66974,80954,268716,200,0
0,249346,0,2047,810234,76422,138216,74136,66974,80954,268716,200,0
0,249346,0,1417,810234,76422,138216,74136,66974,80954,268716,200,0
0,249346,0,363,810234,76422,138216,74136,66974,80954,268716,200,0
0,249346,0,141,810234,76422,138216,74136,66974,80954,268716,200,0
0,249346,0,-386,810234,76422,138216,74136,66974,80954,268716,200,0
0,787877,0,-788,512498,221337,109595,122049,175304,56663,514829,200,0
0,787877,0,1809,512498,221337,109595,122049,175304,56663,514829,200,0
0,787877,0,1244,512498,221337,109595,122049,175304,56663,514829,200,0
0,787877,0,80,512498,221337,109595,122049,175304,56663,514829,200,0
0,787877,0,-17,512498,221337,109595,122049,175304,56663,514829,200,0
0,787877,0,85,512498,221337,109595,122049,175304,56663,514829,200,0
0,787877,0,163,512498,221337,109595,122049,175304,56663,514829,200,0
0,787877,0,-2048,512498,221337,109595,122049,175304,56663,514829,200,0
0,787877,0,2047,512498,221337,109595,122049,175304,56663,514829,200,0
0,787877,0,2047,512498,221337,109595,122049,175304,56663,514829,200,0
0,1102818,0,803,203473,202699,69993,45069,88581,59793,26565,200,0
0,1102818,0,176,203473,202699,69993,45069,88581,59793,26565,200,0
0,1102818,0,86,203473,202699,69993,45069,88581,59793,26565,200,0
0,1102818,0,-202,203473,202699,69993,45069,88581,59793,26565,200,0
0,1102818,0,-2048,203473,202699,69993,45069,88581,59793,26565,200,0
0,1102818,0,-339,203473,202699,69993,45069,88581,59793,26565,200,0
0,1102818,0,1783,203473,202699,69993,45069,88581,59793,26565,200,0
0,1102818,0,1064,203473,202699,69993,45069,88581,59793,26565,200,0
0,1102818,0,233,203473,202699,69993,45069,88581,59793,26565,200,0
0,1102818,0,97,203473,202699,69993,45069,88581,59793,26565,200,0
0,928889,0,91,818298,529896,177897,155939,74833,144599,81872,200,0
0,928889,0,156,818298,529896,177897,155939,74833,144599,81872,200,0
0,928889,0,-1141,818298,529896,177897,155939,74833,144599,81872,200,0
0,928889,0,1384,818298,529896,177897,155939,74833,144599,81872,200,0
0,928889,0,-135,818298,529896,177897,155939,74833,144599,81872,200,0
0,928889,0,355,818298,529896,177897,155939,74833,144599,81872,200,0
0,928889,0,124,818298,529896,177897,155939,74833,144599,81872,200,0
0,928889,0,580,818298,529896,177897,155939,74833,144599,81872,200,0
0,928889,0,-692,818298,529896,177897,155939,74833,144599,81872,200,0
0,928889,0,200,818298,529896,177897,155939,74833,144599,81872,200,0
0,1313081,0,2047,551540,102921,273993,144659,347860,78603,923128,200,0
