Label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129
1,20,787062,37,48,37133,21692,13583,17240,13596,2505,700,51,0,20,787062,37,48,37133,21692,13583,17240,13596,2505,700,51,0,20,787062,37,45,37133,21692,13583,17240,13596,2505,700,51,0,20,787062,37,40,37133,21692,13583,17240,13596,2505,700,51,0,20,787062,37,29,37133,21692,13583,17240,13596,2505,700,51,0,20,787062,37,43,37133,21692,13583,17240,13596,2505,700,51,0,20,787062,37,37,37133,21692,13583,17240,13596,2505,700,51,0,20,787062,37,35,37133,21692,13583,17240,13596,2505,700,51,0,20,6050,37,9,1250,410,109,68,125,53,185,25,0,20,6050,37,0,1250,410,109,68,125,53,185,25,0
1,20,787062,37,48,37133,21692,13583,17240,13596,2505,700,51,0,20,787062,37,45,37133,21692,13583,17240,13596,2505,700,51,0,20,787062,37,40,37133,21692,13583,17240,13596,2505,700,51,0,20,787062,37,29,37133,21692,13583,17240,13596,2505,700,51,0,20,787062,37,43,37133,21692,13583,17240,13596,2505,700,51,0,20,787062,37,37,37133,21692,13583,17240,13596,2505,700,51,0,20,787062,37,35,37133,21692,13583,17240,13596,2505,700,51,0,20,6050,37,9,1250,410,109,68,125,53,185,25,0,20,6050,37,0,1250,410,109,68,125,53,185,25,0,20,6050,37,-9,1250,410,109,68,125,53,185,25,0
1,20,787062,37,45,37133,21692,13583,17240,13596,2505,700,51,0,20,787062,37,40,37133,21692,13583,17240,13596,2505,700,51,0,20,787062,37,29,37133,21692,13583,17240,13596,2505,700,51,0,20,787062,37,43,37133,21692,13583,17240,13596,2505,700,51,0,20,787062,37,37,37133,21692,13583,17240,13596,2505,700,51,0,20,787062,37,35,37133,21692,13583,17240,13596,2505,700,51,0,20,6050,37,9,1250,410,109,68,125,53,185,25,0,20,6050,37,0,1250,410,109,68,125,53,185,25,0,20,6050,37,-9,1250,410,109,68,125,53,185,25,0,20,6050,37,-1018,1250,410,109,68,125,53,185,25,0
1,20,787062,37,40,37133,21692,13583,17240,13596,2505,700,51,0,20,787062,37,29,37133,21692,13583,17240,13596,2505,700,51,0,20,787062,37,43,37133,21692,13583,17240,13596,2505,700,51,0,20,787062,37,37,37133,21692,13583,17240,13596,2505,700,51,0,20,787062,37,35,37133,21692,13583,17240,13596,2505,700,51,0,20,6050,37,9,1250,410,109,68,125,53,185,25,0,20,6050,37,0,1250,410,109,68,125,53,185,25,0,20,6050,37,-9,1250,410,109,68,125,53,185,25,0,20,6050,37,-1018,1250,410,109,68,125,53,185,25,0,20,6050,37,428,1250,410,109,68,125,53,185,25,0
1,20,787062,37,29,37133,21692,13583,17240,13596,2505,700,51,0,20,787062,37,43,37133,21692,13583,17240,13596,2505,700,51,0,20,787062,37,37,37133,21692,13583,17240,13596,2505,700,51,0,20,787062,37,35,37133,21692,13583,17240,13596,2505,700,51,0,20,6050,37,9,1250,410,109,68,125,53,185,25,0,20,6050,37,0,1250,410,109,68,125,53,185,25,0,20,6050,37,-9,1250,410,109,68,125,53,185,25,0,20,6050,37,-1018,1250,410,109,68,125,53,185,25,0,20,6050,37,428,1250,410,109,68,125,53,185,25,0,20,6050,37,315,1250,410,109,68,125,53,185,25,0
1,20,787062,37,43,37133,21692,13583,17240,13596,2505,700,51,0,20,787062,37,37,37133,21692,13583,17240,13596,2505,700,51,0,20,787062,37,35,37133,21692,13583,17240,13596,2505,700,51,0,20,6050,37,9,1250,410,109,68,125,53,185,25,0,20,6050,37,0,1250,410,109,68,125,53,185,25,0,20,6050,37,-9,1250,410,109,68,125,53,185,25,0,20,6050,37,-1018,1250,410,109,68,125,53,185,25,0,20,6050,37,428,1250,410,109,68,125,53,185,25,0,20,6050,37,315,1250,410,109,68,125,53,185,25,0,20,6050,37,326,1250,410,109,68,125,53,185,25,0
1,20,787062,37,37,37133,21692,13583,17240,13596,2505,700,51,0,20,787062,37,35,37133,21692,13583,17240,13596,2505,700,51,0,20,6050,37,9,1250,410,109,68,125,53,185,25,0,20,6050,37,0,1250,410,109,68,125,53,185,25,0,20,6050,37,-9,1250,410,109,68,125,53,185,25,0,20,6050,37,-1018,1250,410,109,68,125,53,185,25,0,20,6050,37,428,1250,410,109,68,125,53,185,25,0,20,6050,37,315,1250,410,109,68,125,53,185,25,0,20,6050,37,326,1250,410,109,68,125,53,185,25,0,20,6050,37,124,1250,410,109,68,125,53,185,25,0
1,20,787062,37,35,37133,21692,13583,17240,13596,2505,700,51,0,20,6050,37,9,1250,410,109,68,125,53,185,25,0,20,6050,37,0,1250,410,109,68,125,53,185,25,0,20,6050,37,-9,1250,410,109,68,125,53,185,25,0,20,6050,37,-1018,1250,410,109,68,125,53,185,25,0,20,6050,37,428,1250,410,109,68,125,53,185,25,0,20,6050,37,315,1250,410,109,68,125,53,185,25,0,20,6050,37,326,1250,410,109,68,125,53,185,25,0,20,6050,37,124,1250,410,109,68,125,53,185,25,0,20,6050,37,44,1250,410,109,68,125,53,185,25,0
1,20,6050,37,9,1250,410,109,68,125,53,185,25,0,20,6050,37,0,1250,410,109,68,125,53,185,25,0,20,6050,37,-9,1250,410,109,68,125,53,185,25,0,20,6050,37,-1018,1250,410,109,68,125,53,185,25,0,20,6050,37,428,1250,410,109,68,125,53,185,25,0,20,6050,37,315,1250,410,109,68,125,53,185,25,0,20,6050,37,326,1250,410,109,68,125,53,185,25,0,20,6050,37,124,1250,410,109,68,125,53,185,25,0,20,6050,37,44,1250,410,109,68,125,53,185,25,0,20,6050,37,0,1250,410,109,68,125,53,185,25,0
1,20,6050,37,0,1250,410,109,68,125,53,185,25,0,20,6050,37,-9,1250,410,109,68,125,53,185,25,0,20,6050,37,-1018,1250,410,109,68,125,53,185,25,0,20,6050,37,428,1250,410,109,68,125,53,185,25,0,20,6050,37,315,1250,410,109,68,125,53,185,25,0,20,6050,37,326,1250,410,109,68,125,53,185,25,0,20,6050,37,124,1250,410,109,68,125,53,185,25,0,20,6050,37,44,1250,410,109,68,125,53,185,25,0,20,6050,37,0,1250,410,109,68,125,53,185,25,0,34,692495,35,18,433957,131691,4698,13798,30754,11413,23847,0,0
1,20,6050,37,-9,1250,410,109,68,125,53,185,25,0,20,6050,37,-1018,1250,410,109,68,125,53,185,25,0,20,6050,37,428,1250,410,109,68,125,53,185,25,0,20,6050,37,315,1250,410,109,68,125,53,185,25,0,20,6050,37,326,1250,410,109,68,125,53,185,25,0,20,6050,37,124,1250,410,109,68,125,53,185,25,0,20,6050,37,44,1250,410,109,68,125,53,185,25,0,20,6050,37,0,1250,410,109,68,125,53,185,25,0,34,692495,35,18,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,49,433957,131691,4698,13798,30754,11413,23847,0,0
1,20,6050,37,-1018,1250,410,109,68,125,53,185,25,0,20,6050,37,428,1250,410,109,68,125,53,185,25,0,20,6050,37,315,1250,410,109,68,125,53,185,25,0,20,6050,37,326,1250,410,109,68,125,53,185,25,0,20,6050,37,124,1250,410,109,68,125,53,185,25,0,20,6050,37,44,1250,410,109,68,125,53,185,25,0,20,6050,37,0,1250,410,109,68,125,53,185,25,0,34,692495,35,18,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,49,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,-404,433957,131691,4698,13798,30754,11413,23847,0,0
1,20,6050,37,428,1250,410,109,68,125,53,185,25,0,20,6050,37,315,1250,410,109,68,125,53,185,25,0,20,6050,37,326,1250,410,109,68,125,53,185,25,0,20,6050,37,124,1250,410,109,68,125,53,185,25,0,20,6050,37,44,1250,410,109,68,125,53,185,25,0,20,6050,37,0,1250,410,109,68,125,53,185,25,0,34,692495,35,18,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,49,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,-404,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,59,433957,131691,4698,13798,30754,11413,23847,0,0
1,20,6050,37,315,1250,410,109,68,125,53,185,25,0,20,6050,37,326,1250,410,109,68,125,53,185,25,0,20,6050,37,124,1250,410,109,68,125,53,185,25,0,20,6050,37,44,1250,410,109,68,125,53,185,25,0,20,6050,37,0,1250,410,109,68,125,53,185,25,0,34,692495,35,18,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,49,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,-404,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,59,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,92,433957,131691,4698,13798,30754,11413,23847,0,0
1,20,6050,37,326,1250,410,109,68,125,53,185,25,0,20,6050,37,124,1250,410,109,68,125,53,185,25,0,20,6050,37,44,1250,410,109,68,125,53,185,25,0,20,6050,37,0,1250,410,109,68,125,53,185,25,0,34,692495,35,18,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,49,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,-404,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,59,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,92,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,-2048,433957,131691,4698,13798,30754,11413,23847,0,0
1,20,6050,37,124,1250,410,109,68,125,53,185,25,0,20,6050,37,44,1250,410,109,68,125,53,185,25,0,20,6050,37,0,1250,410,109,68,125,53,185,25,0,34,692495,35,18,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,49,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,-404,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,59,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,92,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,-2048,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,-270,433957,131691,4698,13798,30754,11413,23847,0,0
1,20,6050,37,44,1250,410,109,68,125,53,185,25,0,20,6050,37,0,1250,410,109,68,125,53,185,25,0,34,692495,35,18,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,49,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,-404,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,59,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,92,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,-2048,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,-270,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,2047,433957,131691,4698,13798,30754,11413,23847,0,0
1,20,6050,37,0,1250,410,109,68,125,53,185,25,0,34,692495,35,18,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,49,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,-404,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,59,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,92,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,-2048,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,-270,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,2047,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,646,433957,131691,4698,13798,30754,11413,23847,0,0
1,34,692495,35,18,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,49,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,-404,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,59,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,92,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,-2048,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,-270,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,2047,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,646,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,137,433957,131691,4698,13798,30754,11413,23847,0,0
1,34,692495,35,49,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,-404,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,59,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,92,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,-2048,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,-270,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,2047,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,646,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,137,433957,131691,4698,13798,30754,11413,23847,0,0,34,962929,35,57,41488,11421,8209,9549,10066,2436,508,51,0
1,34,692495,35,-404,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,59,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,92,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,-2048,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,-270,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,2047,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,646,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,137,433957,131691,4698,13798,30754,11413,23847,0,0,34,962929,35,57,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,49,41488,11421,8209,9549,10066,2436,508,51,0
1,34,692495,35,59,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,92,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,-2048,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,-270,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,2047,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,646,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,137,433957,131691,4698,13798,30754,11413,23847,0,0,34,962929,35,57,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,49,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,48,41488,11421,8209,9549,10066,2436,508,51,0
1,34,692495,35,92,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,-2048,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,-270,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,2047,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,646,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,137,433957,131691,4698,13798,30754,11413,23847,0,0,34,962929,35,57,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,49,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,48,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,48,41488,11421,8209,9549,10066,2436,508,51,0
1,34,692495,35,-2048,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,-270,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,2047,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,646,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,137,433957,131691,4698,13798,30754,11413,23847,0,0,34,962929,35,57,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,49,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,48,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,48,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,48,41488,11421,8209,9549,10066,2436,508,51,0
1,34,692495,35,-270,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,2047,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,646,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,137,433957,131691,4698,13798,30754,11413,23847,0,0,34,962929,35,57,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,49,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,48,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,48,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,48,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,42,41488,11421,8209,9549,10066,2436,508,51,0
1,34,692495,35,2047,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,646,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,137,433957,131691,4698,13798,30754,11413,23847,0,0,34,962929,35,57,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,49,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,48,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,48,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,48,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,42,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,7,41488,11421,8209,9549,10066,2436,508,51,0
1,34,692495,35,646,433957,131691,4698,13798,30754,11413,23847,0,0,34,692495,35,137,433957,131691,4698,13798,30754,11413,23847,0,0,34,962929,35,57,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,49,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,48,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,48,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,48,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,42,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,7,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,3,41488,11421,8209,9549,10066,2436,508,51,0
1,34,692495,35,137,433957,131691,4698,13798,30754,11413,23847,0,0,34,962929,35,57,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,49,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,48,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,48,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,48,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,42,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,7,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,3,41488,11421,8209,9549,10066,2436,508,51,0,34,962929,35,50,41488,11421,8209,9549,10066,2436,508,51,0
